respondent_id,too_cheap,cheap,expensive,too_expensive,pref_free_guest_pass,pref_event_access,pref_priority_seating,pref_discounted_merch,satisfaction_events,satisfaction_communication,satisfaction_support,age_group,membership_status
1,13,21,34,46,5,1,4,1,2,2,1,41–60,Renewed
2,14,24,30,42,1,4,5,4,2,3,3,41–60,Lapsed
3,12,21,30,45,1,5,3,5,1,4,4,26–40,Lapsed
4,14,24,30,41,3,5,4,4,2,1,2,41–60,Renewed
5,14,21,30,49,2,3,3,1,1,1,1,60+,Lapsed
6,11,22,33,48,5,1,1,4,5,5,5,18–25,New
7,12,24,32,44,4,1,1,3,5,3,4,26–40,New
8,12,20,32,45,2,3,4,4,1,3,1,26–40,Renewed
9,12,23,30,43,4,3,4,2,5,5,5,60+,Renewed
10,14,18,32,49,3,3,5,2,5,4,1,18–25,Renewed
11,13,21,32,46,3,4,5,3,5,3,3,18–25,New
12,12,19,30,48,1,1,3,1,3,1,1,26–40,Lapsed
13,14,21,32,46,5,4,4,2,4,1,1,41–60,New
14,11,19,34,40,4,3,1,5,2,2,1,26–40,Lapsed
15,13,23,31,40,2,1,5,2,3,3,4,18–25,New
16,11,23,31,48,3,4,5,2,5,4,1,60+,Lapsed
17,13,23,30,48,1,4,1,1,1,5,5,26–40,New
18,14,19,33,43,1,3,5,4,5,5,3,18–25,Renewed
19,10,21,30,48,4,1,3,2,4,4,3,26–40,New
20,13,23,33,42,3,3,4,3,5,2,1,41–60,Lapsed
21,11,22,31,46,5,1,1,4,1,5,4,26–40,New
22,14,24,30,45,3,5,4,5,4,3,4,26–40,New
23,13,19,34,47,4,2,5,1,5,2,5,18–25,New
24,10,19,32,48,4,2,5,5,4,3,1,18–25,Renewed
25,10,21,33,44,3,2,1,4,2,1,3,18–25,New
26,12,19,32,40,4,3,3,4,2,2,4,26–40,Renewed
27,12,19,32,42,3,5,2,4,5,5,1,41–60,Renewed
28,11,23,30,49,2,1,1,5,4,2,4,60+,New
29,13,21,32,47,3,4,2,4,1,2,4,60+,New
30,13,23,34,45,3,1,2,5,5,2,3,18–25,New
31,12,24,32,47,4,4,3,4,2,2,2,18–25,Lapsed
32,13,24,30,48,4,1,2,3,2,3,5,26–40,New
33,13,23,34,43,1,5,2,4,5,1,5,60+,Renewed
34,10,24,31,40,1,4,3,5,4,4,3,18–25,New
35,12,21,32,40,2,3,2,2,2,2,4,41–60,Lapsed
36,14,18,30,49,1,1,2,4,4,5,1,41–60,New
37,12,23,31,43,3,1,2,2,2,2,4,18–25,Lapsed
38,14,22,31,46,4,4,1,3,2,5,3,18–25,Lapsed
39,10,22,33,41,1,3,1,1,3,3,5,60+,New
40,11,19,34,42,1,3,1,3,2,5,4,60+,Renewed
41,13,24,32,40,2,5,3,4,1,4,5,26–40,Lapsed
42,10,22,30,44,2,3,5,2,5,1,1,60+,New
43,13,19,33,40,3,3,2,2,5,5,5,41–60,New
44,11,18,34,47,4,3,2,5,4,5,5,41–60,Renewed
45,11,21,33,40,2,2,3,2,2,1,2,18–25,Lapsed
46,10,21,34,40,1,5,2,5,1,4,2,60+,Lapsed
47,11,21,34,41,4,1,1,1,4,2,2,26–40,New
48,14,22,32,41,4,4,5,4,3,5,5,41–60,New
49,11,18,34,45,1,1,4,5,4,1,3,41–60,Renewed
50,13,22,33,46,2,5,2,1,4,3,5,26–40,Renewed
